"","study_1","study_2","study_3","study_4"
"SOX14",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"CLK2P1",1,0,0,0
"NOTCH4",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"GAS8-AS1",1,0,0,0
"USP17L8",1,0,0,0
"TNNC2",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"GNRHR2",0.589094188963293,0,0,0.808064376476083
"SLC4A9",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"SOX1",0.520060220985952,0.469723928914653,0,0.713370028213286
"DYNLT4",1,0,0,0
"GOLGA6D",0.53961814226692,0.487388851657797,0.686486975707545,0
"MST1R",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"CHRNE",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"TOLLIP-DT",1,0,0,0
"NKX6-2",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"FBXW4P1",1,0,0,0
"GPR137",0.53961814226692,0.487388851657797,0.686486975707545,0
"KRTAP5-10",0.53961814226692,0.487388851657797,0.686486975707545,0
"ADAMTSL5",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"NR2E3",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"SLC35G5",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"FTCD",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"KLHL17",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"P2RY4",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"TOP1P2",1,0,0,0
"KRTAP10-9",0.589094188963293,0,0,0.808064376476083
"KRTAP5-4",0.53961814226692,0.487388851657797,0.686486975707545,0
"MYL11",1,0,0,0
"KLLN",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"LINC01089",1,0,0,0
"OR10H5",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"GRK4",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"CDC42EP2",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"IL11",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"LOC100507634",0.589094188963293,0,0,0.808064376476083
"FAM138C",1,0,0,0
"HYAL3",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"C17orf107",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"PWAR4",1,0,0,0
"FGF16",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"KLK5",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"HTR1D",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"TSPY26P",1,0,0,0
"ZFR2",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"SNORD115-23",1,0,0,0
"KIF12",0.53961814226692,0.487388851657797,0.686486975707545,0
"GH2",0.589094188963293,0,0,0.808064376476083
"CALML6",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"GABRB3",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"ZNF252P-AS1",1,0,0,0
"SLC22A13",0.53961814226692,0.487388851657797,0.686486975707545,0
"OXER1",0.53961814226692,0.487388851657797,0.686486975707545,0
