"Gene_symbol","ng","metaFIN_pval","metaFIN_padj"
"MYEOV",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"LOC100129291",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"MROH5",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"PRSS30P",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"FREY1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"TBX6",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"FAM236A",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"ATP6V1F",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"IFNL3",6.31475090788983,1.35298439118969e-10,2.95827178715899e-10
"DCANP1",9.47212965009478,0,0
"MYH6",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"LOC375196",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"LOC101927999",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"FAM215A",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"CCIN",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"OR52W1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"VESTAR",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"MEX3B",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"TUBB4A",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"PRKACG",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"MAPT-IT1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"AMER2",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"SH2D6",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"SULT1A1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"GPR148",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"CMTM5",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"FAM223A",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"FAM138F",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"TRIM73",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"PACSIN1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"FAM138A",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"SLC22A7",4.12335125841247,3.73399615116732e-05,5.58767652310791e-05
"FOXL1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"DPM3",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"IL17REL",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"ATRIP",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"POM121L2",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"E2F1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"ATP2B2",6.05292936151284,1.4223524580359e-09,2.8863528834705e-09
"MT1DP",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"GPR6",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"MUC12",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"SOWAHD",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"SLC6A10P",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"NOC2LP2",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"LCK",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"FOXD1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"MUC2",5.71061088469667,1.12571363342084e-08,2.15481855058264e-08
"UBL4B",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"CDH24",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"C16orf82",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"FAM223B",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"NPAP1P9",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
